id,name,description,event_type,probability_weight,auto_effects,choices
daily_001,평범한 하루,오늘은 특별한 일 없이 평범하게 지나갔습니다.,DAILY,300,"[{""type"": ""money_gain"", ""amount"": 5000}]",[]
daily_002,단골 고객 방문,단골 고객들이 평소보다 많이 찾아왔습니다.,DAILY,200,"[{""type"": ""money_gain"", ""amount"": 8000}]",[]
daily_003,조용한 하루,오늘은 유난히 조용한 하루였습니다.,DAILY,150,"[{""type"": ""money_gain"", ""amount"": 3000}]",[]

opportunity_001,대량 주문,회사에서 대량 주문이 들어왔습니다!,OPPORTUNITY,100,"[{""type"": ""money_gain"", ""amount"": 25000}, {""type"": ""awareness_gain"", ""amount"": 10}]",[]
opportunity_002,유명인 방문,유명한 연예인이 매장을 방문했습니다!,OPPORTUNITY,50,"[{""type"": ""awareness_gain"", ""amount"": 30}, {""type"": ""money_gain"", ""amount"": 15000}]",[]
opportunity_003,좋은 리뷰,온라인에 좋은 리뷰가 올라왔습니다.,OPPORTUNITY,120,"[{""type"": ""awareness_gain"", ""amount"": 8}, {""type"": ""money_gain"", ""amount"": 5000}]",[]

choice_001,신메뉴 아이디어,새로운 메뉴 아이디어가 떠올랐습니다. 어떻게 하시겠습니까?,CHOICE,80,[],"[{""id"": ""develop"", ""description"": ""바로 개발해보자 (요리 경험치 +10, 자금 -20000원)"", ""effects"": [{""type"": ""stat_gain"", ""stat"": ""cooking"", ""amount"": 10}, {""type"": ""money_loss"", ""amount"": 20000}], ""requirements"": {""money"": 20000}}, {""id"": ""ignore"", ""description"": ""나중에 생각해보자 (효과 없음)"", ""effects"": []}]"
choice_002,알바 면접,새로운 알바생이 면접을 보러 왔습니다.,CHOICE,60,[],"[{""id"": ""hire"", ""description"": ""고용한다 (관리 경험치 +5, 월급 +80000원)"", ""effects"": [{""type"": ""stat_gain"", ""stat"": ""management"", ""amount"": 5}, {""type"": ""monthly_cost"", ""amount"": 80000}]}, {""id"": ""reject"", ""description"": ""거절한다 (효과 없음)"", ""effects"": []}]"
choice_003,마케팅 제안,마케팅 업체에서 광고 제안이 왔습니다.,CHOICE,70,[],"[{""id"": ""accept"", ""description"": ""광고를 한다 (인지도 +20, 자금 -50000원)"", ""effects"": [{""type"": ""awareness_gain"", ""amount"": 20}, {""type"": ""money_loss"", ""amount"": 50000}], ""requirements"": {""money"": 50000}}, {""id"": ""decline"", ""description"": ""거절한다 (효과 없음)"", ""effects"": []}]"

crisis_001,식자재 가격 상승,주요 식자재의 가격이 급등했습니다.,CRISIS,50,"[{""type"": ""money_loss"", ""amount"": 30000}]",[]
crisis_002,정전 사고,갑작스런 정전으로 영업에 차질이 생겼습니다.,CRISIS,30,"[{""type"": ""money_loss"", ""amount"": 20000}, {""type"": ""awareness_loss"", ""amount"": 5}]",[]
crisis_003,악성 리뷰,온라인에 악성 리뷰가 올라왔습니다.,CRISIS,40,"[{""type"": ""awareness_loss"", ""amount"": 15}]",[]

chain_001,유명 블로거 방문 (1부),유명 음식 블로거가 매장을 방문했습니다.,CHAIN,30,[],"[{""id"": ""special_service"", ""description"": ""특별히 서비스하자 (서비스 경험치 +5, 자금 -5000원)"", ""effects"": [{""type"": ""stat_gain"", ""stat"": ""service"", ""amount"": 5}, {""type"": ""money_loss"", ""amount"": 5000}, {""type"": ""chain_flag"", ""value"": ""good_service""}]}, {""id"": ""normal_service"", ""description"": ""평소대로 응대하자 (효과 없음)"", ""effects"": [{""type"": ""chain_flag"", ""value"": ""normal_service""}]}]" 
